Look Number,Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes,Unnamed: 9
1,Tracy Reese,Spring 2012,Feminine,Floral strapless romper,"Blue wide-brim hat, pink strappy sandals","Fitted, playful","Casual, resort","Bright colors, summer vibe",
2,Tracy Reese,Spring 2012,Feminine,"White jacket, black bandeau top, white shorts","Black and white wide-brim hat, black strappy sandals","Relaxed, chic","Monochrome, elegant","Contrasting colors, light layers",
3,Tracy Reese,Spring 2012,Feminine,Striped V-neck dress,"Beige wide-brim hat, coral strappy sandals","Flowy, classic","Casual, nautical","Timeless stripes, comfortable fit",
1,Tracy Reese,Spring 2012,Feminine,"Olive trench coat, sequined floral top, black capri pants","Round sunglasses, lace-up sandals","Relaxed, layered","Casual, eclectic",Mix of textures and patterns,
2,Tracy Reese,Spring 2012,Feminine,Black sheer dress with lace details,"Black belt, lace-up heels","A-line, sheer","Romantic, vintage-inspired",Sheer layers with lace accents,
3,Tracy Reese,Spring 2012,Feminine,"Blue jacket, floral print blouse, white wide-leg pants","Round sunglasses, patterned shoes","Flowy, relaxed","Bohemian, colorful",Bright colors with a boho vibe,
1,Tracy Reese,Spring 2012,Feminine,Coral strapless romper,"Red umbrella, coral lace-up sandals","Fitted, playful","Beachwear, summer","Bright color, casual elegance",
2,Tracy Reese,Spring 2012,Feminine,White sleeveless jumpsuit,"White hat, white platform sandals","Flowy, elegant","Chic, sophisticated","Monochrome look, relaxed fit",
3,Tracy Reese,Spring 2012,Feminine,Black and white floral dress,"Tan hat, black lace-up sandals","A-line, classic","Vintage-inspired, floral","Bold print, timeless style",
1,Tracy Reese,Fall 2011,Feminine,"Purple cable knit sweater, pleated maxi skirt",Faux fur collar,"Flowy, relaxed","Elegant, cozy",Rich color palette,
2,Tracy Reese,Fall 2011,Feminine,"Black cable knit sweater, pleated midi skirt",Black clutch,"A-line, layered","Chic, sophisticated",Textured knitwear,
3,Tracy Reese,Fall 2011,Feminine,Turquoise pleated dress,Faux fur stole,"A-line, fitted waist","Vibrant, glamorous",Bold color contrast,
1,Tracy Reese,Fall 2011,Feminine,"Embellished blouse, black trousers",,"Slim, tailored","Elegant, classic",Subtle sparkle on blouse,
2,Tracy Reese,Fall 2011,Feminine,"Geometric print dress, faux fur jacket",Sunglasses,"Structured, layered","Bold, graphic",High contrast pattern,
3,Tracy Reese,Fall 2011,Feminine,"Black blouse, faux fur skirt",Sunglasses,"Fitted, voluminous","Chic, monochrome","Textured skirt, high boots",
1,Tracy Reese,Fall 2011,Feminine,"White blouse, black high-waisted pants, fur-trimmed vest",,"Tailored, flared","Chic, sophisticated","Monochrome palette, fur detailing",
2,Tracy Reese,Fall 2011,Feminine,"Patterned dress, belted waist"," ""Sunglasses"," knee-high boots""",A-line,"Bohemian, eclectic","['Mixed patterns, bold accessories']"
3,Tracy Reese,Fall 2011,Feminine,"Black fur coat, patterned dress",Knee-high boots,"Layered, flowing","Luxurious, elegant","Textured fabrics, monochrome look",
1,Tracy Reese,Fall 2015,Feminine,"Patterned coat with fur trim, belted waist","Headphones, sunglasses","Structured, voluminous","Eclectic, bold","Mix of textures, statement accessories",
2,Tracy Reese,Fall 2015,Feminine,"Houndstooth dress, black waist detail",Sunglasses,A-line,"Chic, modern","Graphic print, sleek silhouette",
3,Tracy Reese,Fall 2015,Feminine,"Patterned coat, knit sweater, patterned pants",Sunglasses,"Layered, relaxed","Cozy, graphic","Mix of patterns, oversized knit",
1,Tracy Reese,Fall 2015,Feminine,"Houndstooth coat, floral lace dress",Orange sunglasses,A-line,"Eclectic, layered","Mix of patterns, knee-high boots",
2,Tracy Reese,Fall 2015,Feminine,Cream coat dress,"White headphones, sunglasses","Fitted, flared","Futuristic, sleek","Structured details, monochrome look",
3,Tracy Reese,Fall 2015,Feminine,Floral lace dress,"White headphones, sunglasses",Fit and flare,"Modern, playful","Bold accessories, knee-high boots",
1,Tracy Reese,Fall 2015,Feminine,"White fringed poncho, black turtleneck, cream wide-leg pants","Oversized sunglasses, black cord necklace","Loose, layered","Cozy, chic","Textured layers, monochrome palette",
2,Tracy Reese,Fall 2015,Feminine,Metallic striped dress,"Oversized sunglasses, knee-high boots","Fitted, short","Glamorous, modern","Shimmering fabric, bold accessories",
3,Tracy Reese,Fall 2015,Feminine,"Cream embroidered jacket, patterned sweater, cream culottes",Oversized sunglasses,"Relaxed, layered","Sophisticated, elegant","Intricate embroidery, tonal layering",
